sku,Image Path
113546,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTTEEAS44-WHIT_1__4.jpg
113545,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTTEEAS44-WHIT_1__3.jpg
113544,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTTEEAS44-WHIT_1__2.jpg
113543,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTTEEAS44-WHIT_1__1.jpg
113542,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTTEEAS44-WHIT_1_.jpg
111216,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTPUSAS3-SNGR_1__4.jpg
111215,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTPUSAS3-SNGR_1__3.jpg
111214,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTPUSAS3-SNGR_1__2.jpg
111213,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTPUSAS3-SNGR_1__1.jpg
111212,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTPUSAS3-SNGR_1_.jpg
113771,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-PORD_1__4.jpg
113770,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-PORD_1__3.jpg
113769,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-PORD_1__2.jpg
113768,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-PORD_1__1.jpg
113767,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-PORD_1_.jpg
113766,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-NAVY_1__4.jpg
113765,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WTHSTAS62-NAVY_1__3.jpg
